Date,Date_YMD,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB
15-Apr-20,15/04/2020,Confirmed,886,0,41,0,0,6,0,0,0,17,0,116,6,2,22,1,19,1,1,0,197,236,0,6,0,0,0,0,2,71,0,38,6,0,75,0,23
15-Apr-20,15/04/2020,Recovered,144,0,4,1,2,0,2,4,0,10,1,5,2,0,6,0,9,7,0,0,0,36,0,0,0,0,1,0,0,0,0,37,8,1,7,0,1
15-Apr-20,15/04/2020,Deceased,27,0,3,0,0,0,0,0,0,2,0,5,0,0,0,0,2,0,0,0,0,9,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0
16-Apr-20,16/04/2020,Deceased,26,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,1,0,0,0,2,7,0,0,0,0,0,0,1,0,0,1,0,0,2,0,3
16-Apr-20,16/04/2020,Recovered,258,1,0,0,3,8,0,6,0,11,0,9,8,3,2,0,2,27,2,0,6,5,0,0,0,0,0,0,2,17,0,62,68,0,11,0,5
16-Apr-20,16/04/2020,Confirmed,1061,0,9,0,2,11,0,3,0,62,0,163,11,0,14,1,36,7,0,0,226,285,0,2,0,0,0,0,11,55,0,25,50,0,70,0,18
17-Apr-20,17/04/2020,Recovered,273,0,15,0,4,0,0,1,0,20,0,13,21,0,4,0,6,10,0,0,0,31,0,0,0,0,2,0,1,19,0,103,0,0,14,0,9
17-Apr-20,17/04/2020,Confirmed,922,1,38,0,0,2,0,0,0,67,0,170,8,3,14,3,44,1,0,0,146,120,0,0,0,0,0,0,14,98,0,56,66,0,44,3,24
17-Apr-20,17/04/2020,Deceased,38,0,0,0,0,0,0,0,0,4,0,5,0,0,1,0,0,0,0,0,14,7,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0
18-Apr-20,18/04/2020,Recovered,426,0,7,0,3,5,0,1,0,135,0,7,14,0,9,0,16,2,0,0,57,34,0,0,0,0,3,3,1,17,0,82,0,0,26,0,4
18-Apr-20,18/04/2020,Deceased,35,0,2,0,0,1,0,0,0,1,0,12,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2
18-Apr-20,18/04/2020,Confirmed,1371,2,31,0,0,1,2,0,0,186,0,277,9,1,13,1,25,4,0,0,92,327,0,2,0,0,1,0,23,122,0,49,43,0,126,2,32
19-Apr-20,19/04/2020,Recovered,388,0,23,0,5,0,4,0,0,83,1,12,4,0,5,0,7,13,0,0,4,142,0,0,0,0,0,0,6,5,0,46,0,0,19,2,7
19-Apr-20,19/04/2020,Deceased,38,0,1,0,0,0,0,0,0,2,0,10,0,0,0,0,2,0,0,0,3,12,0,0,0,0,0,0,0,2,0,0,3,0,3,0,0
19-Apr-20,19/04/2020,Confirmed,1580,1,44,0,0,10,3,0,0,110,0,367,18,0,13,8,6,2,0,0,5,552,0,0,0,0,0,0,10,127,0,105,49,0,125,2,23
20-Apr-20,20/04/2020,Recovered,419,0,27,0,2,0,1,0,0,141,0,26,37,0,15,4,1,21,0,0,7,65,1,0,0,0,0,0,1,0,0,46,0,0,13,7,4
20-Apr-20,20/04/2020,Confirmed,1239,1,75,0,0,17,0,0,0,78,0,196,1,0,14,5,18,6,0,0,78,466,0,0,0,0,13,0,1,98,0,43,14,0,84,2,29
